"player_id","full_name","position","posteam","targets","carries","team_targets","team_carries","catch_percentage","yards_per_carry","yards_per_rec","exp_ppg","games","carry_share","target_share"
"00-0038573","Derius Davis","WR","LAC",2,1,122,76,1,10,4,1.23333333333333,3,0.0131578947368421,0.0163934426229508
"00-0038576","Charlie Jones","WR","CIN",2,0,49,23,0.5,0,6,3.04,1,0,0.0408163265306122
"00-0038597","Chase Brown","RB","CIN",0,1,41,15,0,2,0,0.44,1,0.0666666666666667,0
"00-0038608","Kayshon Boutte","WR","NE",4,0,54,22,0,0,0,7.55,1,0,0.0740740740740741
"00-0038611","Chris Rodriguez","RB","WAS",0,3,31,28,0,2.33333333333333,0,2.07,1,0.107142857142857,0
"00-0038618","Xavier Hutchinson","WR","HOU",2,0,91,49,0.5,0,9,1.425,2,0,0.021978021978022
"00-0038621","Demario Douglas","WR","NE",12,1,125,87,0.583333333333333,5,10.5714285714286,6.23666666666667,3,0.0114942528735632,0.096
"00-0038622","Deuce Vaughn","RB","DAL",3,9,63,74,1,2.66666666666667,5.33333333333333,4.25,2,0.121621621621622,0.0476190476190476
"00-0038627","Antoine Green","WR","DET",1,0,35,27,1,0,2,1.32,1,0,0.0285714285714286
"00-0038647","Ronnie Bell","WR","SF",2,0,37,39,1,0,12,4.61,1,0,0.0540540540540541
"00-0038685","Christopher Brooks","RB","MIA",0,9,28,43,0,7.33333333333333,0,3.4,1,0.209302325581395,0
"00-0038705","Emari Demercado","RB","ARI",2,3,52,59,1,0,3.5,2.385,2,0.0508474576271186,0.0384615384615385
"00-0038720","Julian Hill","TE","MIA",1,0,28,43,0,0,0,3.88,1,0,0.0357142857142857
"00-0038738","Hunter Luepke","RB","DAL",1,1,40,33,1,9,12,1.86,1,0.0303030303030303,0.025
"00-0038752","Jake Bobo","WR","SEA",3,0,77,58,0.666666666666667,0,4,2.75,2,0,0.038961038961039
"00-0038783","Nate Adkins","TE","DEN",1,0,38,20,1,0,11,1.38,1,0,0.0263157894736842
"00-0038794","Jaleel McLaughlin","RB","DEN",1,6,104,65,1,3.33333333333333,-7,2.15333333333333,3,0.0923076923076923,0.00961538461538462
"00-0038797","Emanuel Wilson","RB","GB",1,5,69,47,1,2.2,6,1.87,2,0.106382978723404,0.0144927536231884
"00-0038821","Rakim Jarrett","WR","TB",1,1,68,67,1,0,7,1.04,2,0.0149253731343284,0.0147058823529412
"00-0038862","Elijah Dotson","RB","LAC",2,4,41,21,1,1.5,6.5,4.97,1,0.19047619047619,0.0487804878048781
"00-0038933","Dalton Kincaid","TE","BUF",12,0,110,90,0.916666666666667,0,6.54545454545455,6.72666666666667,3,0,0.109090909090909
"00-0038935","Brenton Strange","TE","JAX",2,0,42,27,1,0,3.5,2.66,1,0,0.0476190476190476
"00-0038938","Jalin Hyatt","WR","NYG",3,0,67,55,0.666666666666667,0,44.5,2.995,2,0,0.0447761194029851
"00-0038941","Tyler Scott","WR","CHI",5,0,59,55,0.6,0,6.66666666666667,4.09,2,0,0.0847457627118644
"00-0038951","Sean Tucker","RB","TB",2,15,93,84,1,1.53333333333333,4.5,3.42333333333333,3,0.178571428571429,0.021505376344086
"00-0038976","Marvin Mims","WR","DEN",9,3,104,65,0.777777777777778,4.33333333333333,27.8571428571429,6.44666666666667,3,0.0461538461538462,0.0865384615384615
"00-0038977","Nathaniel Dell","WR","HOU",21,0,121,75,0.714285714285714,0,16.7333333333333,10.8566666666667,3,0,0.173553719008264
"00-0038994","Jordan Addison","WR","MIN",19,0,138,50,0.684210526315789,0,14.2307692307692,11.5433333333333,3,0,0.13768115942029
"00-0038997","Josh Downs","WR","IND",24,0,116,84,0.625,0,8.26666666666667,11.7366666666667,3,0,0.206896551724138
"00-0039021","Roschon Johnson","RB","CHI",11,17,88,71,0.909090909090909,5.29411764705882,5.6,9.03333333333333,3,0.23943661971831,0.125
"00-0039032","Tyjae Spears","RB","TEN",10,15,83,71,0.7,5.46666666666667,1.42857142857143,7.38,3,0.211267605633803,0.120481927710843
"00-0039040","Devon Achane","RB","MIA",5,19,58,73,1,10.9473684210526,6.8,12.615,2,0.26027397260274,0.0862068965517241
"00-0039052","Trey Palmer","WR","TB",6,0,93,84,0.666666666666667,0,9,3.84666666666667,3,0,0.0645161290322581
"00-0039062","Jonathan Mingo","WR","CAR",19,0,129,65,0.421052631578947,0,8,9.39,3,0,0.147286821705426
"00-0039064","Zay Flowers","WR","BAL",25,4,86,106,0.84,4.25,8.95238095238095,15.1333333333333,3,0.0377358490566038,0.290697674418605
"00-0039065","Sam LaPorta","TE","DET",22,0,103,92,0.818181818181818,0,10.3333333333333,11.4966666666667,3,0,0.213592233009709
"00-0039066","Michael Mayer","TE","LV",2,0,68,34,0.5,0,2,1.93,2,0,0.0294117647058824
"00-0039067","Rashee Rice","WR","KC",14,1,118,82,0.714285714285714,-3,10.8,8.69666666666667,3,0.0121951219512195,0.11864406779661
"00-0039075","Puka Nacua","WR","LA",42,2,126,75,0.714285714285714,2,11.2666666666667,22.56,3,0.0266666666666667,0.333333333333333
"00-0039139","Jahmyr Gibbs","RB","DET",13,31,103,92,0.769230769230769,4.48387096774194,5.9,12.5833333333333,3,0.33695652173913,0.12621359223301
"00-0039144","Luke Musgrave","TE","GB",15,0,96,79,0.733333333333333,0,11.2727272727273,8.24,3,0,0.15625
"00-0039146","Jayden Reed","WR","GB",20,1,96,79,0.45,-2,16.4444444444444,12.9166666666667,3,0.0126582278481013,0.208333333333333
"00-0039150","Bryce Young","QB","CAR",0,5,71,51,0,10.2,0,12.73,2,0.0980392156862745,0
"00-0039163","C.J. Stroud","QB","HOU",1,10,121,75,1,3.5,0,17.5,3,0.133333333333333,0.00826446280991736
"00-0039164","Anthony Richardson","QB","IND",0,13,72,49,0,5.76923076923077,0,14.105,2,0.26530612244898,0
"00-0039165","Zach Charbonnet","RB","SEA",4,16,103,76,0.75,4.5625,4.33333333333333,5.57666666666667,3,0.210526315789474,0.0388349514563107
NA,NA,NA,"ARI",2,0,31,29,0,0,0,3.07,1,0,0.0645161290322581
NA,NA,NA,"ATL",2,0,32,45,0,0,0,3.36,1,0,0.0625
